record_id,pmid,title,year,journal,query,extracted_brain_system,extracted_feature_type,extracted_phenotype,extracted_diagnostic_context,extracted_relationship,extracted_direction,extracted_mechanism,extracted_directness,evidence_strength,supporting_sentence,schema_valid,schema_issues,citation_valid,sentence_present,sentence_anchored,semantic_support_score,phenotype_correct,feature_type_correct,relationship_correct,direction_correct,overclaiming_flag,hallucination_flag,review_decision,review_notes,verifier_model,verifier_support_score,verifier_decision,verifier_phenotype_supported,verifier_feature_supported,verifier_relationship_supported,verifier_direction_supported,verifier_directness_supported,verifier_overclaiming,verifier_corrected_phenotype,verifier_corrected_feature_type,verifier_corrected_direction,verifier_rationale,verifier_error
555,27894158,Craving behavioral intervention for internet gaming disorder: remediation of functional connectivity of the ventral striatum.,2018,Addiction biology,attentional impulsivity resting-state fMRI,ventral striatum,functional connectivity,attentional impulsivity,Internet gaming disorder,remediation_of,lower,decrease_in_functional_connectivity,direct,0.8,"Moreover, compared with CBI-, CBI+ showed significantly greater decrease in VS-lIPL connectivity, along with amelioration in addiction severity following the intervention.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,lower,"The sentence clearly supports the claim by stating a direct relationship between the intervention and a decrease in functional connectivity, which is associated with the phenotype of attentional impulsivity.",
556,32114120,Estimating individual scores of inattention and impulsivity based on dynamic features of intrinsic connectivity network.,2020,Neuroscience letters,attentional impulsivity resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,ADHD,correlates_with,higher,,indirect,0.8,"The estimated clinical scores were significantly correlated to inattention (r = 0.4 ± 0.02, p < 0.01) and impulsivity (r = 0.31 ± 0.02, p < 0.01).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,nonplanning impulsivity,functional connectivity,higher,"The sentence partially supports the claim because it mentions impulsivity, which is a part of the phenotype 'nonplanning impulsivity'. However, it does not directly mention the phenotype 'nonplanning impulsivity' and the feature type 'functional connectivity' needs to be corrected to match the extracted claim. The direction 'higher' is supported by the sentence.",
557,30366150,Mapping Internet gaming disorder using effective connectivity: A spectral dynamic causal modeling study.,2019,Addictive behaviors,attentional impulsivity resting-state fMRI,default mode network,dynamic connectivity,nonplanning impulsivity,Internet gaming disorder,reduced_effective_connectivity,lower,,direct,0.85,"Compared with RGU, IGD showed reduced effective connectivity from the mPFC to the PCC and from the left IPL to the mPFC, with reduced self-connection in the PCC and the left IPL.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,dynamic connectivity,lower,"The sentence directly supports the claim by mentioning reduced effective connectivity, which is a type of dynamic connectivity, and the direction of the relationship is clearly stated as lower.",
558,36055063,PTSD symptomatology is selectively associated with impaired sustained attention ability and dorsal attention network synchronization.,2022,NeuroImage. Clinical,attentional impulsivity resting-state fMRI,dorsal attention network,functional connectivity,nonplanning impulsivity,PTSD,associated_with,lower,disrupted proactive engagement of attentional control circuitry,direct,0.8,"PTSD symptoms were selectively associated with reduced sustained attention ability, but not more impulsive response strategies. In Study 2, we utilized task and resting-state fMRI to characterize neural circuitry underlying PTSD-related differences in sustained attention ability. Both PTSD symptomatology and sustained attention ability exhibited converging associations with reduced dorsal attention network (DAN) synchronization to endogeneous attentional fluctuations.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,lower,"The sentence clearly supports the claim, mentioning a direct association between PTSD symptomatology and reduced sustained attention ability, which is a feature of nonplanning impulsivity. The direction of the association is also clearly stated as lower. The sentence also mentions the dorsal attention network, which is the brain system associated with the claim.",
559,27812554,Attention-Deficit/Hyperactivity Disorder symptoms coincide with altered striatal connectivity.,2016,Biological psychiatry. Cognitive neuroscience and neuroimaging,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,ADHD,associated_with,higher,,direct,0.8,Inattention and hyperactivity/impulsivity symptom scores were associated with increases in functional connectivity in the networks of posterior putamen and ventral caudate.,yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,higher,"The sentence clearly supports the extracted claim, mentioning a direct association between attentional impulsivity and higher functional connectivity in the brain.",
560,39551190,Attention and emotion in adolescents with ADHD; a time-varying functional connectivity study.,2025,Journal of affective disorders,attentional impulsivity resting-state fMRI,unknown,dynamic connectivity,impulsivity (general),ADHD,associated_with,lower,,direct,0.8,"adolescents with ADHD had 1) diminished salience network-centered dynamic FNC that was driven by an integrated ADHD phenotype (p < .004, r = 0.57)",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,yes,no,no,impulsivity (general),dynamic connectivity,lower,"The sentence directly supports the phenotype, feature, relationship, and direction. However, it does not name the brain system, so directness_supported is set to false. The phenotype 'impulsivity (general)' is mentioned in the sentence, but it is not explicitly stated as the phenotype. Instead, it is referred to as an 'integrated ADHD phenotype'. Therefore, the corrected_phenotype field is set to 'impulsivity (general)' based on the extracted claim.",
561,39147392,"Evaluation of potential alterations related to ADHD in the effective connectivity between the default mode network and cerebellum, hippocampus, thalamus, and primary visual cortex.",2024,"Cerebral cortex (New York, N.Y. : 1991)",attentional impulsivity resting-state fMRI,default mode network,dynamic connectivity,impulsivity (general),ADHD,correlates_with,higher,"an increase in the effective connectivity leads to more inhibition imposition from the right cerebellum to DMN that reduces this network activation. The lower DMN activity makes leaving the resting-state easier, which may be involved in the restlessness symptom.",direct,0.85,Our results demonstrated a positive correlation between ADHD and effective connectivity between the right cerebellum and three DMN nodes (intrinsically inhibitory connections).,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),dynamic connectivity,higher,"The sentence partially supports the claim but needs revision or is indirect. The direction and directness are not explicitly stated in the sentence, and the corrected fields are based on the extracted claim.",
562,24615988,Network connectivity abnormality profile supports a categorical-dimensional hybrid model of ADHD.,2014,Human brain mapping,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,ADHD,correlates_with,unclear,,unclear,0.7,"Dimensional relationships between symptom severity measures and functional connectivity that did not differ between TDC and children with ADHD were observed for each network, supporting a dimensional characterization of ADHD.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,no,no,yes,,,,"The sentence does not support the claim because it mentions a group difference (TDC vs children with ADHD) but not a phenotype-feature association. It also does not support the relationship, direction, or directness of the claim.",
563,27881961,Functional Connectivity of Child and Adolescent Attention Deficit Hyperactivity Disorder Patients: Correlation with IQ.,2016,Frontiers in human neuroscience,attentional impulsivity resting-state fMRI,frontoparietal/control network,functional connectivity,attentional impulsivity,ADHD,correlates_with,unclear,,direct,0.5,The frontoparietal network is known to be related to hyperactive and impulsive behaviors.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,unclear,,,,"The sentence does not mention attentional impulsivity, functional connectivity, or a correlation, and it does not support the brain system mentioned in the claim.",
564,28762756,Intranasal Oxytocin Selectively Modulates Large-Scale Brain Networks in Humans.,2017,Brain connectivity,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,unknown,modulates,unclear,by altering connectivity within the ventral attention network,indirect,0.7,"Our results show that OT mainly alters connectivity in the VA, on one side reducing the coupling to regions that typically form the nodes of DM, an introspective and self-referential network, and on the other side increasing the coupling to the edges of the CO, which is involved in salience processing.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,unclear,,
565,36747838,Individual Differences in Delay Discounting are Associated with Dorsal Prefrontal Cortex Connectivity in Youth.,2023,bioRxiv : the preprint server for biology,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,nonplanning impulsivity,unknown,associated_with,higher,,direct,0.85,"These analyses revealed that individual differences in delay discounting were associated with patterns of connectivity emanating from the left dorsal prefrontal cortex, a hub of the default mode network.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,higher,"The sentence clearly supports the phenotype (nonplanning impulsivity), feature (functional connectivity), relationship (associated_with), direction (higher), and directness (direct) when stated.",
566,34732691,The sooner the better: clinical and neural correlates of impulsive choice in Tourette disorder.,2021,Translational psychiatry,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),Tourette disorder,predicts,higher,,direct,0.85,"Within this network, (i) lower connectivity of pre-supplementary motor area with ventral striatum predicted a higher impulsivity and a steeper reward discounting and (ii) a greater connectivity of pre-supplementary motor area with anterior insular cortex predicted steeper reward discounting and more severe tics.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),reward discounting,higher,"The sentence clearly supports the extracted claim, mentioning a direct relationship between lower connectivity of a brain area and higher impulsivity, as well as a direct relationship between greater connectivity of another brain area and steeper reward discounting.",
567,28173729,Structural and Functional Abnormalities in Children with Attention-Deficit/Hyperactivity Disorder: A Focus on Subgenual Anterior Cingulate Cortex.,2017,Brain connectivity,attentional impulsivity resting-state fMRI,unknown,structural connectivity,attentional impulsivity,ADHD-C,correlates_with,unclear,,indirect,0.5,Both the rs-fMRI and DTI ROI-based measures were significantly correlated with clinical measures that examine behavioral capacities of attention and inhibitory control.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,yes,no,attentional impulsivity,functional connectivity,positively,"The sentence supports the phenotype and feature, but the direction is unclear. The relationship is also supported, but the feature type is more specific to functional connectivity than structural connectivity. The directness is supported as the sentence does not name both phenotype and feature, but it does describe a relationship between them. The corrected phenotype, feature type, and direction are based on the extracted claim.",
568,29409566,Brain-behavior patterns define a dimensional biotype in medication-naïve adults with attention-deficit hyperactivity disorder.,2018,Psychological medicine,attentional impulsivity resting-state fMRI,unknown,functional connectivity,impulsivity (general),adult ADHD,correlates_with,unclear,,indirect,0.7,"Adults with ADHD showed stronger functional connectivity compared to healthy controls, predominantly between the default-mode, cingulo-opercular and subcortical networks.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,impulsivity (general),functional connectivity,increases,"The sentence partially supports the claim, but the direction is not explicitly stated. The corrected direction is 'increases' based on the context of 'stronger functional connectivity'. The directness is also not explicitly stated, but it can be inferred that it is indirect as it is a comparison between groups.",
569,36866118,"Structural differences among children, adolescents, and adults with attention-deficit/hyperactivity disorder and abnormal Granger causality of the right pallidum and whole-brain.",2023,Frontiers in human neuroscience,attentional impulsivity resting-state fMRI,unknown,unknown,attentional impulsivity,ADHD,correlates_with,unclear,,indirect,0.7,The right pallidum was positively correlated with disease severity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,yes,no,no,attentional impulsivity,severity,positive,"The sentence supports the phenotype, but the feature type is not specified. The relationship is correlation, which is a type of association. The direction is positive, which is clear. However, the directness is indirect because it does not name both phenotype and feature. The corrected fields are phenotype, feature type, and direction.",
570,31978743,Neural correlates and role of medication in reactive motor impulsivity in Tourette disorder.,2020,Cortex; a journal devoted to the study of the nervous system and behavior,attentional impulsivity resting-state fMRI,unknown,functional connectivity,motor impulsivity,"Tourette disorder, ADHD",associated_with,higher,increased grey matter signal from the right supplementary motor area and inferior frontal gyrus; decreased resting-state spontaneous activity of the left putamen; higher functional connectivity between the inferior frontal gyrus and the superior temporal gyri (bilaterally); lower functional connectivity between the cerebellum and the right subthalamic nucleus,direct,0.85,We found a higher reactive motor impulsivity in TD patients medicated with antipsychotics compared to unmedicated TD patients and controls.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,no,yes,yes,yes,no,motor impulsivity,behavioral,higher,"The sentence directly supports the phenotype and direction, but the feature type is not mentioned in the sentence, so it cannot be supported.",
571,37561637,Abnormal frontostriatal connectivity and serotonin function in gambling disorder: A preliminary exploratory study.,2023,Journal of behavioral addictions,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,gambling disorder,correlates_with,lower,,direct,0.9,"Right NAcc 11C-MADAM binding potential correlated with attentional impulsivity in individuals with gambling disorder (r = -0.73, p = 0.005).",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,lower,"The sentence directly states a correlation between right NAcc 11C-MADAM binding potential and attentional impulsivity in individuals with gambling disorder, which matches the extracted claim.",
572,27664824,Perceived social isolation is associated with altered functional connectivity in neural networks associated with tonic alertness and executive control.,2017,NeuroImage,attentional impulsivity resting-state fMRI,cingulo-opercular network,functional connectivity,attentional impulsivity,unknown,associated_with,higher,,direct,0.9,These regions encompassed the bilateral insula/frontoparietal opercula and ACC/pre-SMA.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,0,drop,no,no,no,unclear,unclear,unclear,,,,"The sentence does not mention attentional impulsivity, functional connectivity, association, or any direction, making it unsupported for the claim.",
573,36937718,"The clinical, neuropsychological, and brain functional characteristics of the ADHD restrictive inattentive presentation.",2023,Frontiers in psychiatry,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,ADHD restrictive inattentive presentation,correlates_with,lower,,direct,0.8,The ADHD-RI displayed marginally significantly lower FC in the salience network compared to the ADHD-I and the control groups.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,lower,"The sentence clearly supports the claim, mentioning a direct relationship between the phenotype (attentional impulsivity) and feature (functional connectivity in the salience network), with a lower direction.",
574,34294803,Functional network topology of the right insula affects emotion dysregulation in hyperactive-impulsive attention-deficit/hyperactivity disorder.,2021,Scientific reports,attentional impulsivity resting-state fMRI,unknown,functional connectivity,unknown,attention-deficit/hyperactivity disorder,associated_with,higher,,direct,0.85,"In individuals with ADHD characterized by prominent hyperactivity-impulsivity, the latent emotion dysregulation variable was related to an increased clustering and local efficiency of the right insula.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,emotion dysregulation,functional connectivity,higher,,
575,28174127,Altered functional connectivity in default mode network in Internet gaming disorder: Influence of childhood ADHD.,2017,Progress in neuro-psychopharmacology & biological psychiatry,attentional impulsivity resting-state fMRI,default mode network,functional connectivity,impulsivity (general),"Internet gaming disorder, childhood ADHD",correlates_with,unclear,,direct,0.75,The strength of connectivity between the PCC and cerebellum (crus II) was positively correlated with self-reporting scales reflecting impulsiveness.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,positively,"The sentence clearly supports the extracted claim, mentioning a direct association between the strength of connectivity and impulsiveness.",
576,38964089,Multimodal frontal neuroimaging markers predict longitudinal craving reduction in abstinent individuals with heroin use disorder.,2024,Journal of psychiatric research,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,heroin use disorder,predicts,higher,,direct,0.8,"The multimodal neuroimaging features, primarily converging in frontal regions (e.g., the left superior frontal (LSF) thickness, FA of the LSF-occipital tract, and RSFC of left middle frontal-right superior temporal lobe), collectively contributed to prediction alongside dosage and attention impulsiveness.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,lower,"The sentence partially supports the claim, but the direction is mixed and the directness is not fully supported. The corrected phenotype and feature type match the extracted claim, but the direction needs to be corrected to 'lower' to match the claim.",
577,40334458,Temporal variability-based alternations in dynamic functional networks in internet gaming disorder.,2025,Journal of psychiatric research,attentional impulsivity resting-state fMRI,"default mode network, ventral attention network, sensorimotor network, limbic network",BOLD variability,attentional impulsivity,internet gaming disorder,correlates_with,lower,,direct,0.85,"Compared to RGUs, IGD individuals exhibited decreased within-network variability in the default mode network (DMN)",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,BOLD variability,lower,"The sentence directly states that IGD individuals have lower within-network variability in the DMN, which is part of the default mode network, ventral attention network, sensorimotor network, and limbic network. This supports the claim of attentional impulsivity correlating with lower BOLD variability in these networks.",
578,29554302,Ventral Striatal D2/3 Receptor Availability Is Associated with Impulsive Choice Behavior As Well As Limbic Corticostriatal Connectivity.,2018,The international journal of neuropsychopharmacology,attentional impulsivity resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,unknown,associated_with,lower,,direct,0.8,"Delay-discounting task impulsivity was inversely related to D2/3 receptor availability in the nucleus accumbens core but not the dorsal striatum, with higher D2/3 binding in the nucleus accumbens shell of high-impulsive rats compared with low-impulsive rats.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,functional connectivity,lower,"The sentence clearly supports the extracted claim, mentioning nonplanning impulsivity as the phenotype, functional connectivity as the feature type, association as the relationship, lower as the direction, and directness as the directness. The brain system is not explicitly mentioned, but it is implied to be the ventral striatum, which is related to the nucleus accumbens core and shell. The sentence also mentions a group difference between high-impulsive and low-impulsive rats, but this is not an overclaim as it is related to the phenotype-feature association.",
579,26802508,A failure of suppression within the default mode network in depressed adolescents with compulsive internet game play.,2016,Journal of affective disorders,attentional impulsivity resting-state fMRI,default mode network,unknown,nonplanning impulsivity,"depression, compulsive internet game play",associated_with,unclear,,background,0.5,"In cohorts of individuals with a history of compulsive internet game play, individuals with depression showed failure to suppress default mode network activity during an attentionally demanding task, compared to individuals without depression, including comparison groups with and without a history of compulsive video gaming.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,nonplanning impulsivity,unknown,unclear,The sentence clearly supports the association between nonplanning impulsivity and the failure to suppress default mode network activity in individuals with depression and a history of compulsive internet game play.,
580,30898336,Age-Normative Pathways of Striatal Connectivity Related to Clinical Symptoms in the General Population.,2019,Biological psychiatry,attentional impulsivity resting-state fMRI,unknown,unknown,attentional impulsivity,unknown,associated_with,unclear,,indirect,0.5,"Attention-deficit/hyperactivity disorder severity was related to age-advanced connectivity across several insula subregions, but to age-delayed connectivity with the nearby inferior frontal gyrus.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,attention-deficit/hyperactivity disorder,connectivity,positive,"The sentence partially supports the claim, but the feature type and direction need correction.",
581,39965782,MRI-based surrogates of brain clearance in narcolepsy type 1.,2025,Journal of sleep research,attentional impulsivity resting-state fMRI,unknown,unknown,impulsivity (general),narcolepsy type 1,unknown,unclear,,background,0.0,,yes,,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),,,,
582,36511133,TTLL11 gene is associated with sustained attention performance and brain networks: A genome-wide association study of a healthy Chinese sample.,2023,"Genes, brain, and behavior",attentional impulsivity resting-state fMRI,somatomotor network,functional connectivity,nonplanning impulsivity,healthy individuals,associated_with,lower,,direct,0.75,"Specifically, the GG homozygotes showed lower brain activity, weaker brain network connectivity, and non-significant brain-attention association compared to the A allele carriers.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,nonplanning impulsivity,functional connectivity,lower,"The sentence does not directly support the feature type 'functional connectivity' as it mentions 'weaker brain network connectivity', which is a related but distinct concept. The direction is also not directly supported as the sentence mentions 'lower brain activity' but not the specific relationship between brain activity and the phenotype.",
583,29171429,Age-related connectivity differences between attention deficit and hyperactivity disorder patients and typically developing subjects: a resting-state functional MRI study.,2017,Neural regeneration research,attentional impulsivity resting-state fMRI,unknown,functional connectivity,attentional impulsivity,ADHD patients and typically developing subjects,associated_with,unclear,,indirect,0.6,The results of our study suggest that aberrant development in cognitive brain regions might be associated with age-related brain network changes in ADHD patients.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,attentional impulsivity,functional connectivity,unclear,"The sentence partially supports the claim, but the feature type and direction are not clearly stated. The corrected fields are based on the extracted claim.",
584,32800380,"Estimating the Heritability of Developmental Change in Neural Connectivity, and Its Association With Changing Symptoms of Attention-Deficit/Hyperactivity Disorder.",2021,Biological psychiatry,attentional impulsivity resting-state fMRI,unknown,structural connectivity,impulsivity (general),ADHD,associated_with,unclear,,indirect,0.5,Change in hyperactivity-impulsivity was associated with heritable change in white matter tracts metrics and change in the connectivity between the ventral attention and cognitive networks.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),structural connectivity,associated with,"The sentence clearly supports the extracted claim, mentioning a specific association between impulsivity and structural connectivity changes. The direction is also supported as 'associated with', which matches the corrected direction. The directness is supported as 'indirect' since the sentence does not name both phenotype and feature explicitly, but it implies an association between them. There is no overclaiming as the sentence mentions a group difference and a phenotype-feature association.",
585,34851976,Differential structure-function network coupling in the inattentive and combined types of attention deficit hyperactivity disorder.,2021,PloS one,attentional impulsivity resting-state fMRI,unknown,unknown,attentional impulsivity,ADHD subtypes (inattentive and combined),correlates_with,lower,,indirect,0.7,"Children with ADHD had lower structural connectivity and network efficiency in the DMN, without significant group differences in functional networks.",yes,,yes,yes,no,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,network efficiency,lower,"The sentence clearly supports the claim, mentioning a specific phenotype (attentional impulsivity), feature (network efficiency), and direction (lower). The relationship is also clearly stated as correlating with the phenotype. The directness is indirect, but this is consistent with the claim. There is no overclaiming, as the sentence only mentions a group difference in structural connectivity, not a phenotype-feature association.",
586,30099805,Binge drinking is associated with attenuated frontal and parietal activation during successful response inhibition in fearful context.,2019,The European journal of neuroscience,attentional impulsivity resting-state fMRI,unknown,functional connectivity,nonplanning impulsivity,unknown,associated_with,lower,alcohol-associated disruption of functional connectivity,direct,0.85,"Similarly, higher binge drinking was associated with attenuated frontopolar activation when choosing a delayed reward over an immediate reward within the fearful, relative to the neutral, context.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,nonplanning impulsivity,functional connectivity,lower,"The sentence partially supports the claim but needs revision or is indirect. The phenotype 'nonplanning impulsivity' is not explicitly mentioned in the sentence, but it can be inferred from the context. The feature type 'functional connectivity' is also not explicitly mentioned, but it can be inferred from the context. The relationship 'associated_with' is supported, but the direction 'lower' is not directly supported by the sentence. The directness 'direct' is not supported because the sentence does not name both phenotype and feature.",
587,34497483,Abnormal Topological Network in Parkinson's Disease With Impulse Control Disorders: A Resting-State Functional Magnetic Resonance Imaging Study.,2021,Frontiers in neuroscience,attentional impulsivity resting-state fMRI,"default mode network, control network, dorsal attention network",functional connectivity,impulsivity (general),Parkinson's Disease with Impulse Control Disorders (PD-ICD) and Parkinson's Disease without Impulse Control Disorders (PD-nICD),associated_with,lower,,direct,0.85,"As we hypothesized, the nodal centralities of the default mode network, control network, and dorsal attention network were found to be significantly damaged in the PD-ICD group compared with the PD-nICD group.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,impulsivity (general),functional connectivity,lower,"The sentence clearly supports the claim by stating a significant difference in the nodal centralities of the mentioned brain networks between the PD-ICD and PD-nICD groups, which is directly related to the phenotype of impulsivity and the feature of functional connectivity, and the direction of the association is lower.",
588,41572717,Machine Learning-driven ADHD Classification: Exploring Medication Effects with VMD Sub-band Analysis.,2026,Current computer-aided drug design,attentional impulsivity resting-state fMRI,unknown,unknown,attentional impulsivity,unknown,unknown,unclear,,unclear,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,attentional impulsivity,unknown,,"The sentence partially supports the claim, but the feature type and direction are unclear.",
589,35682491,Digital Addiction and Sleep.,2022,International journal of environmental research and public health,attentional impulsivity functional connectivity,unknown,unknown,attentional impulsivity,unknown,unknown,unclear,,unclear,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,no,yes,no,no,no,attentional impulsivity,behavioral,positive,"The sentence partially supports the claim but needs revision or is indirect. The phenotype 'attentional impulsivity' is supported, but the feature type is unknown and should be corrected to 'behavioral'. The relationship is supported, but the direction is unclear and should be corrected to 'positive' if the association is found.",
590,40525051,"The Role of Sleep and the Effects of Sleep Loss on Cognitive, Affective, and Behavioral Processes.",2025,Cureus,attentional impulsivity functional connectivity,unknown,functional connectivity,attentional impulsivity,unknown,associated_with,higher,"Sleep deprivation increases amygdala reactivity, weakens prefrontal-amygdala connectivity, and contributes to emotional dysregulation, impulsivity, and risk-taking behaviors.",direct,0.8,"Sleep deprivation increases amygdala reactivity, weakens prefrontal-amygdala connectivity, and contributes to emotional dysregulation, impulsivity, and risk-taking behaviors.",yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,2,keep,yes,yes,yes,yes,yes,no,attentional impulsivity,functional connectivity,higher,"The sentence directly supports the association between sleep deprivation and attentional impulsivity, which is a functional connectivity issue, and the direction is higher.",
591,39339712,Investigating the Impact of Nutrition and Oxidative Stress on Attention Deficit Hyperactivity Disorder.,2024,Nutrients,attentional impulsivity functional connectivity,unknown,functional connectivity,attentional impulsivity,ADHD,associated_with,unclear,,background,,,no,evidence_strength not a number,yes,no,unclear,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,,The sentence partially supports the claim but needs revision or is indirect. The direction and directness are unclear.,
592,39500949,Exploring the impact of probiotics on adult ADHD management through a double-blind RCT.,2024,Scientific reports,attentional impulsivity functional connectivity,unknown,functional connectivity,attentional impulsivity,ADHD,correlates_with,lower,,indirect,0.7,There was also a negative correlation between FCC and symptoms of attention and impulsivity.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,attentional impulsivity,functional connectivity,lower,"The sentence partially supports the claim, but the direction and directness need to be revised to match the extracted claim.",
593,35754775,Intrinsic Functional Connectivity in the Default Mode Network Differentiates the Combined and Inattentive Attention Deficit Hyperactivity Disorder Types.,2022,Frontiers in human neuroscience,attentional impulsivity functional connectivity,default mode network,functional connectivity,nonplanning impulsivity,"ADHD-C, ADHD-I",differentiates,lower,,direct,0.8,ADHD-C were characterized from ADHD-I by reduced network connectivity differences within the DMN.,yes,,yes,yes,yes,,,,,,,,,,llama-3.1-8b-instruct,1,revise,yes,yes,yes,no,no,no,nonplanning impulsivity,functional connectivity,lower,"The sentence partially supports the claim but needs revision or is indirect. The direction and directness are not explicitly stated, and the relationship is supported. The phenotype and feature are also supported, but need to be corrected to match the extracted claim.",
